9.09231,76.49408
9.10067,76.52202
9.08552,76.52924
9.07724,76.53196
9.0522,76.53634
9.04921,76.53601
9.04504,76.53571
9.02679,76.54284
8.9950046,76.5324175
8.96768,76.53825
8.94752,76.53627
8.94561,76.53696
8.94224,76.53848
8.93994,76.54238
8.93836,76.54419
8.92893,76.55006
8.9287,76.55034
8.9211,76.55882
8.9162,76.5592
8.91553,76.55972
8.91257,76.56001
8.88759,76.59047
8.8912,76.58512
9.12538,76.50173
9.12947,76.5033
9.1352,76.51267
9.17657,76.52341
9.17262,76.49788
9.23859,76.47091
10.14526,76.42601
9.25076,76.46647
9.2793,76.45929
9.28123,76.44442
9.31951,76.42579
9.31624,76.4124
9.38324,76.35509
9.39089,76.34902
9.40078,76.35197
9.39919,76.35239
9.42121,76.34778
9.49154,76.33683
9.49489,76.3433
9.5007,76.3428
9.50003,76.34685
9.19459,76.50976
9.20326,76.51358
9.20872,76.51535
9.2127,76.51634
9.72372,76.64671
9.22781,76.51658
9.24935,76.53383
9.24751,76.53952
9.2501,76.53912
9.25172,76.53898
9.25314,76.54459
9.31745,76.5338
9.32456,76.53293
9.33216,76.53247
9.36657,76.54506
9.37163,76.54912
9.39147,76.55183
9.41812,76.54887
9.44456,76.54603
9.44561,76.54115
9.44336,76.5444
9.44336,76.5444
9.4571665,76.5331927
